/home/ubuntu/miniconda3/lib/python3.6/site-packages/urllib3/contrib/pyopenssl.py:46: DeprecationWarning: OpenSSL.rand is deprecated - you should use os.urandom instead
  import OpenSSL.SSL
INFO:root:Namespace(aug_level=2, batch_size=256, bn_mom=0.9, data_dir='data/imagenet', data_type='imagenet', depth=152, frequent=50, gpus='0,1,2,3,4,5,6,7', kv_store='device', list_dir='./', lr=0.1, memonger=False, model_load_epoch=0, mom=0.9, num_classes=1000, num_examples=1281167, retrain=False, wd=0.0001, workspace=512)
[07:54:35] src/io/iter_image_recordio_2.cc:153: ImageRecordIOParser2: data/imagenet/train_480_q90.rec, use 4 threads for decoding..
[07:54:57] src/io/iter_image_recordio_2.cc:153: ImageRecordIOParser2: data/imagenet/val_256_q90.rec, use 4 threads for decoding..
train_resnet.py:124: DeprecationWarning: [91mmxnet.model.FeedForward has been deprecated. Please use mxnet.mod.Module instead.[0m
  multi_factor_scheduler(begin_epoch, epoch_size, step=[30, 60, 90], factor=0.1),
/home/ubuntu/mxnet/python/mxnet/model.py:547: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
/home/ubuntu/mxnet/python/mxnet/model.py:553: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
INFO:root:Start training with [gpu(0), gpu(1), gpu(2), gpu(3), gpu(4), gpu(5), gpu(6), gpu(7)]
[07:55:01] src/operator/././cudnn_algoreg-inl.h:112: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
INFO:root:Epoch[0] Batch [50]	Speed: 160.36 samples/sec	accuracy=0.001250	top_k_accuracy_5=0.005938
INFO:root:Epoch[0] Batch [100]	Speed: 155.36 samples/sec	accuracy=0.001719	top_k_accuracy_5=0.008828
INFO:root:Epoch[0] Batch [150]	Speed: 155.53 samples/sec	accuracy=0.003125	top_k_accuracy_5=0.012656
INFO:root:Epoch[0] Batch [200]	Speed: 155.69 samples/sec	accuracy=0.003047	top_k_accuracy_5=0.013672
INFO:root:Epoch[0] Batch [250]	Speed: 155.73 samples/sec	accuracy=0.003281	top_k_accuracy_5=0.014297
INFO:root:Epoch[0] Batch [300]	Speed: 155.49 samples/sec	accuracy=0.003906	top_k_accuracy_5=0.016094
INFO:root:Epoch[0] Batch [350]	Speed: 155.50 samples/sec	accuracy=0.003359	top_k_accuracy_5=0.016719
INFO:root:Epoch[0] Batch [400]	Speed: 155.67 samples/sec	accuracy=0.004297	top_k_accuracy_5=0.021016
INFO:root:Epoch[0] Batch [450]	Speed: 155.76 samples/sec	accuracy=0.004922	top_k_accuracy_5=0.021484
INFO:root:Epoch[0] Batch [500]	Speed: 155.48 samples/sec	accuracy=0.005234	top_k_accuracy_5=0.021875
INFO:root:Epoch[0] Batch [550]	Speed: 155.36 samples/sec	accuracy=0.005625	top_k_accuracy_5=0.023984
INFO:root:Epoch[0] Batch [600]	Speed: 155.38 samples/sec	accuracy=0.006875	top_k_accuracy_5=0.027266
INFO:root:Epoch[0] Batch [650]	Speed: 155.42 samples/sec	accuracy=0.007188	top_k_accuracy_5=0.027578
INFO:root:Epoch[0] Batch [700]	Speed: 155.46 samples/sec	accuracy=0.007734	top_k_accuracy_5=0.028984
INFO:root:Epoch[0] Batch [750]	Speed: 155.45 samples/sec	accuracy=0.007188	top_k_accuracy_5=0.033047
INFO:root:Epoch[0] Batch [800]	Speed: 155.41 samples/sec	accuracy=0.009453	top_k_accuracy_5=0.034609
INFO:root:Epoch[0] Batch [850]	Speed: 155.37 samples/sec	accuracy=0.007266	top_k_accuracy_5=0.032422
INFO:root:Epoch[0] Batch [900]	Speed: 155.43 samples/sec	accuracy=0.011172	top_k_accuracy_5=0.043437
INFO:root:Epoch[0] Batch [950]	Speed: 155.37 samples/sec	accuracy=0.011562	top_k_accuracy_5=0.044609
INFO:root:Epoch[0] Batch [1000]	Speed: 155.33 samples/sec	accuracy=0.013047	top_k_accuracy_5=0.048359
INFO:root:Epoch[0] Batch [1050]	Speed: 155.30 samples/sec	accuracy=0.011172	top_k_accuracy_5=0.048438
INFO:root:Epoch[0] Batch [1100]	Speed: 155.36 samples/sec	accuracy=0.015547	top_k_accuracy_5=0.053906
INFO:root:Epoch[0] Batch [1150]	Speed: 155.31 samples/sec	accuracy=0.015000	top_k_accuracy_5=0.054609
INFO:root:Epoch[0] Batch [1200]	Speed: 155.32 samples/sec	accuracy=0.014063	top_k_accuracy_5=0.057891
INFO:root:Epoch[0] Batch [1250]	Speed: 155.34 samples/sec	accuracy=0.017109	top_k_accuracy_5=0.063984
INFO:root:Epoch[0] Batch [1300]	Speed: 155.29 samples/sec	accuracy=0.016641	top_k_accuracy_5=0.063750
INFO:root:Epoch[0] Batch [1350]	Speed: 155.34 samples/sec	accuracy=0.021562	top_k_accuracy_5=0.071016
INFO:root:Epoch[0] Batch [1400]	Speed: 155.38 samples/sec	accuracy=0.020547	top_k_accuracy_5=0.077109
INFO:root:Epoch[0] Batch [1450]	Speed: 155.33 samples/sec	accuracy=0.023047	top_k_accuracy_5=0.076172
INFO:root:Epoch[0] Batch [1500]	Speed: 155.31 samples/sec	accuracy=0.024375	top_k_accuracy_5=0.086250
INFO:root:Epoch[0] Batch [1550]	Speed: 155.33 samples/sec	accuracy=0.026250	top_k_accuracy_5=0.087344
INFO:root:Epoch[0] Batch [1600]	Speed: 155.35 samples/sec	accuracy=0.025703	top_k_accuracy_5=0.083906
INFO:root:Epoch[0] Batch [1650]	Speed: 155.31 samples/sec	accuracy=0.027109	top_k_accuracy_5=0.091875
INFO:root:Epoch[0] Batch [1700]	Speed: 155.31 samples/sec	accuracy=0.033828	top_k_accuracy_5=0.103125
INFO:root:Epoch[0] Batch [1750]	Speed: 155.25 samples/sec	accuracy=0.030937	top_k_accuracy_5=0.103516
INFO:root:Epoch[0] Batch [1800]	Speed: 155.25 samples/sec	accuracy=0.032109	top_k_accuracy_5=0.106172
INFO:root:Epoch[0] Batch [1850]	Speed: 155.30 samples/sec	accuracy=0.033203	top_k_accuracy_5=0.109375
INFO:root:Epoch[0] Batch [1900]	Speed: 155.23 samples/sec	accuracy=0.034766	top_k_accuracy_5=0.118047
INFO:root:Epoch[0] Batch [1950]	Speed: 155.30 samples/sec	accuracy=0.037734	top_k_accuracy_5=0.120547
INFO:root:Epoch[0] Batch [2000]	Speed: 155.32 samples/sec	accuracy=0.036562	top_k_accuracy_5=0.121016
INFO:root:Epoch[0] Batch [2050]	Speed: 155.23 samples/sec	accuracy=0.041719	top_k_accuracy_5=0.124531
INFO:root:Epoch[0] Batch [2100]	Speed: 155.31 samples/sec	accuracy=0.042656	top_k_accuracy_5=0.132188
INFO:root:Epoch[0] Batch [2150]	Speed: 155.22 samples/sec	accuracy=0.044219	top_k_accuracy_5=0.133906
INFO:root:Epoch[0] Batch [2200]	Speed: 155.29 samples/sec	accuracy=0.043125	top_k_accuracy_5=0.133672
INFO:root:Epoch[0] Batch [2250]	Speed: 155.23 samples/sec	accuracy=0.042656	top_k_accuracy_5=0.132656
INFO:root:Epoch[0] Batch [2300]	Speed: 155.25 samples/sec	accuracy=0.049766	top_k_accuracy_5=0.146172
INFO:root:Epoch[0] Batch [2350]	Speed: 155.22 samples/sec	accuracy=0.051406	top_k_accuracy_5=0.148203
INFO:root:Epoch[0] Batch [2400]	Speed: 155.25 samples/sec	accuracy=0.045156	top_k_accuracy_5=0.145078
INFO:root:Epoch[0] Batch [2450]	Speed: 155.26 samples/sec	accuracy=0.053828	top_k_accuracy_5=0.157734
INFO:root:Epoch[0] Batch [2500]	Speed: 155.27 samples/sec	accuracy=0.052812	top_k_accuracy_5=0.161953
INFO:root:Epoch[0] Batch [2550]	Speed: 155.26 samples/sec	accuracy=0.061406	top_k_accuracy_5=0.176016
INFO:root:Epoch[0] Batch [2600]	Speed: 155.22 samples/sec	accuracy=0.058047	top_k_accuracy_5=0.164297
INFO:root:Epoch[0] Batch [2650]	Speed: 155.30 samples/sec	accuracy=0.058984	top_k_accuracy_5=0.168281
INFO:root:Epoch[0] Batch [2700]	Speed: 155.25 samples/sec	accuracy=0.064844	top_k_accuracy_5=0.176797
INFO:root:Epoch[0] Batch [2750]	Speed: 155.25 samples/sec	accuracy=0.063281	top_k_accuracy_5=0.184219
INFO:root:Epoch[0] Batch [2800]	Speed: 155.32 samples/sec	accuracy=0.067656	top_k_accuracy_5=0.188281
INFO:root:Epoch[0] Batch [2850]	Speed: 155.32 samples/sec	accuracy=0.072500	top_k_accuracy_5=0.193281
INFO:root:Epoch[0] Batch [2900]	Speed: 155.21 samples/sec	accuracy=0.072344	top_k_accuracy_5=0.196484
INFO:root:Epoch[0] Batch [2950]	Speed: 155.30 samples/sec	accuracy=0.071719	top_k_accuracy_5=0.199375
INFO:root:Epoch[0] Batch [3000]	Speed: 155.30 samples/sec	accuracy=0.073594	top_k_accuracy_5=0.198437
INFO:root:Epoch[0] Batch [3050]	Speed: 155.16 samples/sec	accuracy=0.073281	top_k_accuracy_5=0.204141
INFO:root:Epoch[0] Batch [3100]	Speed: 155.32 samples/sec	accuracy=0.074453	top_k_accuracy_5=0.201797
INFO:root:Epoch[0] Batch [3150]	Speed: 155.25 samples/sec	accuracy=0.076250	top_k_accuracy_5=0.210938
INFO:root:Epoch[0] Batch [3200]	Speed: 155.25 samples/sec	accuracy=0.080781	top_k_accuracy_5=0.219922
INFO:root:Epoch[0] Batch [3250]	Speed: 154.96 samples/sec	accuracy=0.080391	top_k_accuracy_5=0.218828
INFO:root:Epoch[0] Batch [3300]	Speed: 155.26 samples/sec	accuracy=0.086641	top_k_accuracy_5=0.220781
INFO:root:Epoch[0] Batch [3350]	Speed: 155.29 samples/sec	accuracy=0.088984	top_k_accuracy_5=0.231563
INFO:root:Epoch[0] Batch [3400]	Speed: 155.25 samples/sec	accuracy=0.090156	top_k_accuracy_5=0.230234
INFO:root:Epoch[0] Batch [3450]	Speed: 155.27 samples/sec	accuracy=0.091484	top_k_accuracy_5=0.238984
INFO:root:Epoch[0] Batch [3500]	Speed: 155.29 samples/sec	accuracy=0.093438	top_k_accuracy_5=0.239297
INFO:root:Epoch[0] Batch [3550]	Speed: 155.30 samples/sec	accuracy=0.094297	top_k_accuracy_5=0.239375
INFO:root:Epoch[0] Batch [3600]	Speed: 155.27 samples/sec	accuracy=0.090078	top_k_accuracy_5=0.243906
INFO:root:Epoch[0] Batch [3650]	Speed: 155.26 samples/sec	accuracy=0.095937	top_k_accuracy_5=0.242578
INFO:root:Epoch[0] Batch [3700]	Speed: 155.26 samples/sec	accuracy=0.099297	top_k_accuracy_5=0.247344
INFO:root:Epoch[0] Batch [3750]	Speed: 155.28 samples/sec	accuracy=0.101406	top_k_accuracy_5=0.254609
INFO:root:Epoch[0] Batch [3800]	Speed: 155.25 samples/sec	accuracy=0.105547	top_k_accuracy_5=0.257969
INFO:root:Epoch[0] Batch [3850]	Speed: 155.25 samples/sec	accuracy=0.106328	top_k_accuracy_5=0.264766
INFO:root:Epoch[0] Batch [3900]	Speed: 155.32 samples/sec	accuracy=0.102266	top_k_accuracy_5=0.258672
INFO:root:Epoch[0] Batch [3950]	Speed: 155.27 samples/sec	accuracy=0.107578	top_k_accuracy_5=0.269375
INFO:root:Epoch[0] Batch [4000]	Speed: 155.33 samples/sec	accuracy=0.110078	top_k_accuracy_5=0.270078
INFO:root:Epoch[0] Batch [4050]	Speed: 155.23 samples/sec	accuracy=0.110625	top_k_accuracy_5=0.272188
INFO:root:Epoch[0] Batch [4100]	Speed: 155.26 samples/sec	accuracy=0.106250	top_k_accuracy_5=0.268984
INFO:root:Epoch[0] Batch [4150]	Speed: 155.28 samples/sec	accuracy=0.111875	top_k_accuracy_5=0.276953
INFO:root:Epoch[0] Batch [4200]	Speed: 155.28 samples/sec	accuracy=0.116797	top_k_accuracy_5=0.282656
INFO:root:Epoch[0] Batch [4250]	Speed: 155.29 samples/sec	accuracy=0.119063	top_k_accuracy_5=0.278125
INFO:root:Epoch[0] Batch [4300]	Speed: 155.27 samples/sec	accuracy=0.116875	top_k_accuracy_5=0.281016
INFO:root:Epoch[0] Batch [4350]	Speed: 155.26 samples/sec	accuracy=0.125156	top_k_accuracy_5=0.293672
INFO:root:Epoch[0] Batch [4400]	Speed: 155.28 samples/sec	accuracy=0.120625	top_k_accuracy_5=0.292422
INFO:root:Epoch[0] Batch [4450]	Speed: 155.32 samples/sec	accuracy=0.122813	top_k_accuracy_5=0.300781
INFO:root:Epoch[0] Batch [4500]	Speed: 155.26 samples/sec	accuracy=0.121328	top_k_accuracy_5=0.295156
INFO:root:Epoch[0] Batch [4550]	Speed: 155.26 samples/sec	accuracy=0.123047	top_k_accuracy_5=0.304844
INFO:root:Epoch[0] Batch [4600]	Speed: 155.27 samples/sec	accuracy=0.127656	top_k_accuracy_5=0.300391
INFO:root:Epoch[0] Batch [4650]	Speed: 155.27 samples/sec	accuracy=0.125312	top_k_accuracy_5=0.304531
INFO:root:Epoch[0] Batch [4700]	Speed: 155.22 samples/sec	accuracy=0.125000	top_k_accuracy_5=0.302891
INFO:root:Epoch[0] Batch [4750]	Speed: 155.30 samples/sec	accuracy=0.132109	top_k_accuracy_5=0.310859
INFO:root:Epoch[0] Batch [4800]	Speed: 155.35 samples/sec	accuracy=0.135234	top_k_accuracy_5=0.313047
INFO:root:Epoch[0] Batch [4850]	Speed: 155.30 samples/sec	accuracy=0.142656	top_k_accuracy_5=0.317266
INFO:root:Epoch[0] Batch [4900]	Speed: 155.27 samples/sec	accuracy=0.133203	top_k_accuracy_5=0.323750
INFO:root:Epoch[0] Batch [4950]	Speed: 155.30 samples/sec	accuracy=0.138750	top_k_accuracy_5=0.320859
INFO:root:Epoch[0] Batch [5000]	Speed: 155.38 samples/sec	accuracy=0.142578	top_k_accuracy_5=0.326016
INFO:root:Epoch[0] Resetting Data Iterator
INFO:root:Epoch[0] Time cost=8270.641
INFO:root:Saved checkpoint to "model/resnet-imagenet-152-0-0001.params"
INFO:root:Epoch[0] Validation-accuracy=0.158283
